show_id,tipo,titulo,director,elenco,anio,clasificacion,duracion,listado_en,plataforma
s2578,Movie,Edison,Michelle Ferrari,"Thomas A. Edison, Henry Ford, Michael Murphy",2015,13+,113,Documentary,amazon
s2579,Movie,Edie,Simon Hunter,"Sheila Hancock, Kevin Guthrie, Amy Manson",2019,13+,102,"Action, Drama",amazon
s2580,Movie,Edge of Doom,Mark Robson,"Dana Andrews, Farley Granger, Joan Evans",1950,13+,98,Drama,amazon
s2581,Movie,Eddie Pepitone: In Ruins,Steven Feinartz,Eddie Pepitone,2014,18+,64,"Arts, Entertainment, and Culture, Comedy, Special Interest",amazon
s2582,Movie,Eddie Pence: The (Un)special Comedy Special,Dustin Jacobs,Eddie Pence,2020,18+,59,"Arts, Entertainment, and Culture, Comedy, Special Interest",amazon
s2587,Movie,Eat With Me,David Au,"Sharon Omi, George Takei, Teddy Chen Culver, Nicole Sullivan, Aidan Bristow",2015,16+,96,"Comedy, LGBTQ, Romance",amazon
s2589,Movie,"Easy Come, Easy Go",John Rich,"Elvis Presley, Dodie Marshall, Pat Priest",1967,PG,95,"Action, Arts, Entertainment, and Culture, Comedy",amazon
s2590,Movie,East Side Sushi,Anthony Lucero,"Diana Torres, Yutaka Takeuchi, Rodrigo Clark, Kaya Aguirre",2015,PG,106,"Comedy, Drama",amazon
s2592,Movie,Ear Buds: The Podcasting Documentary,Graham Elwood,"Marc Maron, Chris Hardwick, Joe Rogan, Aisha Tyler, Wil Anderson, Doug Benson, Stephen J. Dubner, Steven D. Levitt",2016,18+,106,"Comedy, Documentary, Special Interest",amazon
s2594,Movie,Eagle and the Hawk,Lewis R. Foster,"John Payne, Rhonda Fleming, Dennis O'Keefe, Thomas Gomez, Fred Clark, Frank Faylen, Eduardo Noriega, Grandon Rhodes, Walter Reed",1950,13+,104,Western,amazon
s2595,Movie,E-Motion 2.0,Frazer Bailey,"Ty Hungerford, Lauren Jackson",2014,13+,72,Documentary,amazon
s2596,Movie,Dwayne Perkins: Take Note,Ian Harris,Dwayne Perkins,2016,18+,68,"Arts, Entertainment, and Culture, Comedy, Special Interest",amazon
s2597,Movie,Duke Is Tops,William L. Nolte,"Ralph Cooper, Lena Horne, Laurence Criner, Monte Hawley, Willie Covan, Neva Peoples, Vernon McCalla, Edward Thompson, Johnny Taylor, Ray Martin, Guernsey Morrow, Charles Hawkins, Basin Street Boys, Rubberneck Holmes, Cats and the Fiddle, Marie Bryant, Swing Band Harlemania Orchestra, Everett Brown, Arthur Ray, Joel Fluellen, Lillian Randolph",1938,13+,75,"Arts, Entertainment, and Culture",amazon
s2599,Movie,DSP DEV,Mandeep Benipal,"Dev Kharoud, Mehreen Pirzada, Manav Vij, Aman Dhaliwal, Girija Shankar, Shavinder Mahal, Nita Mohindra, Tarsem Paul",2019,13+,141,"Action, Drama, Suspense",amazon
s2600,Movie,Drugs as Weapons Against Us,John L. Potash,"Timothy Leary, Robert Kennedy, John Lennon, Mick Jagger, Bernardine Dohrn",2019,13+,120,"Documentary, Special Interest",amazon
s2604,Movie,Drishyam 2,Jeethu Joseph,"Mohanlal, Meena, Siddique, Murali Gopy, Asha Sharath, Ganesh Kumar, Ansiba, Esther Anil, Anjali Nair, Saikumar, Antony Perumbavoor",2021,13+,153,Drama,amazon
s2605,Movie,Dripping In Chocolate,Mark Joffe,"David Wenham, Louise Lombard, Rick Donald, Richard Brancatisano, Chelsie Preston Crayford, Caroline Brazier, Lucy Durack, Geoff Morrell",2012,16+,92,"Drama, Romance, Suspense",amazon
s2606,Movie,Dressed To Kill,Roy William Neill,"Basil Rathbone, Nigel Bruce, Patricia Morison, Edmund Breon, Carl Harbord, Patricia Cameron, Tom Dillon, Frederick Worlock, Harry Cording, Topsy Glyn, Mary Gordon, Ian Wolfe, Lillian Bronson",1946,13+,90,"Drama, Suspense",amazon
s2607,Movie,Dreaming Out Loud,Harold Young,"Chester Luack, Norris Goff, Frances Langford, Frank Craven, Bobs Watson, Robert Wilcox, Clara Blandick",1940,13+,82,"Comedy, Drama",amazon
s2610,Movie,Dragonslayer,Matthew Robbins,"Peter MacNicol, Caitlin Clarke, Ralph Richardson",1981,PG,109,"Action, Adventure, Fantasy",amazon
s2612,Movie,Dragon Eyes,John Hyams,"Jean-Claude Van Damme, Cung Le, Peter Weller",2012,R,91,"Action, Drama",amazon
s2614,Movie,Dr. Heckyl and Mr. Hype,Charles B. Griffith,"Sunny Johnson, Oliver Reed",1980,R,98,Comedy,amazon
s2617,Movie,Down 2 Come Up,Micah Troy,"Pastor Troy, Malan Boykin, Shawty Lo",2020,18+,80,Drama,amazon
s2618,Movie,Dov Davidoff: Lower Your Expectations,John Asher,Dov Davidoff,2016,18+,59,"Arts, Entertainment, and Culture, Comedy, Special Interest",amazon
s2619,Movie,Doug Stanhope: No Refunds,Milton Lage,Doug Stanhope,2007,18+,60,"Arts, Entertainment, and Culture, Comedy, Special Interest",amazon
s2620,Movie,Doug Stanhope: No Place Like Home,Brian Hennigan,Doug Stanhope,2016,18+,71,"Arts, Entertainment, and Culture, Comedy, Special Interest",amazon
s2621,Movie,Doug Dynasty,Doug Benson,Doug Benson,2014,18+,61,"Arts, Entertainment, and Culture, Comedy, Special Interest",amazon
s2626,Movie,Doomed To Die,William Nigh,"Boris Karloff, Grant Withers, Marjorie Reynolds, Melvin Lang, William Stelling, Catherine Craig",1940,PG,82,Suspense,amazon
s2627,Movie,Donovan's Reef,John Ford,"John Wayne, Elizabeth Allen, Cesar Romero, Dick Foran",1963,PG,109,"Action, Comedy",amazon
s2628,Movie,Don't Let Them In,Mike Dunkin,"Michelle Luther, Aidan O'Neill, Scott Suter, Amanda Hunt",2020,18+,81,Horror,amazon
s2629,Movie,Don't Call Me Bigfoot,Jeremy Norrie,"Matthew Mordovanec, Alex Mistretta, Danielle Winkler, Nick Redfern",2020,16+,72,Documentary,amazon
s2630,Movie,"Don Q, Son of Zorro (Silent)",Donald Crisp,"Douglas Fairbanks Sr, Mary Astor, Jack McDonald, Stella De Lanti, Donald Crisp, Warner Oland, Jean Hersholt",1925,13+,111,Action,amazon
s2631,Movie,Dominique Witten: Stop Me When I'm Lying!,John Asher,Dominique Witten,2017,18+,59,"Arts, Entertainment, and Culture, Comedy, Special Interest",amazon
